,0,1
0,8746,@handle Let's try and catch up live next week!
1,8746,Going to watch Grey's on the big screen - Thursday indulgence.....
2,8746,@handle My pleasure Patrick....hope you are well!
3,8746,@handle Hi there! Been traveling a lot and lots more to come this and next month - recovered from the pneumonia - but well! How r u?
4,8746,RT @handle Looking to Drink Clean & Go Green? Purchase your Clear2Go bottle w/ filter at your nearest @handle
5,8746,RT @handle: Ft. Hood officials confirm the 2 other soldiers initially held as suspects have been released
6,8746,RT @handle: Mickey Mouse is Getting a Make Over http://bit.ly/1UstFu @handle
7,8746,@handle How did u get the invite Justin?
8,8746,@handle I think I am still a good friend of hers - lol!
9,8746,@handle I remember! I am fine - how are u? What's new?
10,8746,@handle That's great - good for the coach!!!!!
11,8746,@handle I don't want to picture u sitting on it - lol - but I understand.....
12,8746,@handle D- Thanks for the RTs....are you going to WOMMA Summit?
13,8746,@handle Grrr....you must be going crazy!
14,8746,@handle Hi there - just catching up from my trip - any news on Dale?
15,8746,RT @handle: If you're looking for some great lists to follow then check mine out! = http://bit.ly/JPlists
16,8746,RT @handle: Retailers who arenâ€™t engaging customers through social media could be missing the boat. http://ow.ly/zxvh
17,8746,"RT @handle: Director of Global Brand Marketing, Hotels and Casino's $125k + 30% bonus - Orlando Fl http://bit.ly/4kUmBB #jobs #twitjobs"
18,8746,Still in car....want to jump out....45 minutes eta!!!
19,8746,"RT @handle: ""Only surround yourself with people who will lift you higher."" Oprah Winfrey #inspiration"
20,8746,@handle wish I could but 24/7 w stu's family then drive. Home sat am so max can get back to school sun. :-(
21,8746,RT @handle: Help us help MusiCares! Vote for Charity on Facebook: http://bit.ly/72CP1Q
22,8746,@handle yum!!!! Save me some!!
23,8746,RT @handle: Gratitude is the sign of noble souls. ~Aesop #quote #gratitude
24,8746,@handle I don't think I know what it is!
25,8746,"RT @handle: @handle Just found you via @handle sheesh, @handle let's do a post for SY on this before winter break in Dec?"
26,8746,RT @handle: RT @handle: Travelling for the Holiday? Send us a pic of your Gettington Bag in action! ... http://bit.ly/704Oi3
27,8746,Just entering ohio - special hi to @handle!!
28,8746,@handle well we agree on one food thing friend - pumpkin pie! For that (and u) I am grateful #tweetsgiving
29,8746,@handle only 1!!!!!
30,8746,@handle only 4 more hours til Akron!
31,8746,@handle am driving to ohio...look fforward to responding sun....have a great holiday!
32,8746,@handle just ate at the King!!!!
33,8746,RT @handle: Good read: Harvard Business - Oprah Winfrey and Your Leadership Brand http://tinyurl.com/yks92ww #leadership #brand #marketing
34,8746,@handle u are a tough chick! Hope it did not ruin the banquet for u or dale!
35,8746,@handle we let jake take one last week when he had a half day...they need them too!
36,8746,@handle tennesee says hi back! Watching out for all the BKs but sure lunch will be W's!
37,8746,@handle ah hah....schools closed in atlanta today...only 8 more hours of driving...ugh...will say hi a little later!!!!
38,8746,@handle hi Lil! Driving thru tennessee now! Are p early!
39,8746,"RT @handle: Check it out- ""12 Extremely Effective Guerrilla Marketing Stunts""- http://tinyurl.com/damuxk"
40,8746,@handle glad u remembered! Have a great holiday!
41,8746,RT @handle: More Thanksgiving leftover ideas http://bit.ly/8hpVLJ
42,8746,@handle Thank you Rob - we are proud of the site!! Happy TDay!
43,8746,Night and Happy Thaksgiving to all my friends - old and new - tonight has been super! #anntaylor
44,8746,RT @handle: @handle Sounds amazing! Its going to be a cold winter here in NYC! #GNO @handle #anntaylor
45,8746,@handle Tellme about it
46,8746,"RT @handle: @handle Q12 Love the velvet jacket posted earlier, it's a must wear for the holidays! #gno #anntaylor"
47,8746,RT @handle: Now I'm dreaming of new boots and soft cashmere. Time to go shopping #gno #anntaylor
48,8746,RT @handle: RT @handle: Q12: WHAT ARE U MOST LOOKING FRWRD 2 WEARING THIS HOLIDAY SEASON? #gno #anntaylor
49,8746,@handle LOL!!!!
50,8746,RT @handle: RT @handle: Become a fan of the fashionable @handle FB page! http://www.facebook.com/AnnTaylor #gno #anntaylor
51,8746,@handle It is a litt;e boring working from home but when I travel oo la la! #anntaylor
52,8746,RT @handle: Become a fan of the fashionable @handle FB page! http://www.facebook.com/AnnTaylor PLS RT #gno #anntaylor
53,8746,!@handle Leaving at 6:00 am to drive to Akron OH to spend holiday with cousins #anntaylor
54,8746,@handle We have to compare notes! #anntaylor
55,8746,@handle Wish I had time to shop when I come - did a number here in Atl two weeks ago! #anntaylor
56,8746,RT @handle: o my gosh i have fallen in love all over again with ann taylor #gno #anntaylorstyle
57,8746,@handle Nice to see u here Andrew! #anntaylor
58,8746,"RT @handle: @handle Q10- statement necklace, blazer, LBD! #anntaylor #gno"
59,8746,RT @handle: @handle @handle @handle @handle @handle Thank you for the RT love!! MY PLEASURE!
60,8746,@handle I understand the urge!
61,8746,@handle U are so cute - I don't have one! #anntaylor
62,8746,@handle Without what? #anntaylor
63,8746,@handle Black pants would be the one thing I can't live withouth! #anntaylor
64,8746,@handle How many little black dresses do u have? #anntaylor
65,8746,RT @handle: http://twitpic.com/qtzls - @handle Q10: Every closet needs at least one LBD! http://bit.ly/6P6Bnw #anntaylor
66,8746,"RT @handle: @handle An ""LBD"" http://bit.ly/6jDdT5 #gno #anntaylor"
67,8746,RT @handle: RT @handle: @handle Q10: WHAT THE 1 WARDROBE PIECE U COULDNâ€™T LIVE W/OUT? PLS RT #gno #anntaylor
68,8746,RT @handle: RT @handle: @handle fab white shirts are a must have in everyone's wardrobe! #gno #anntaylor
69,8746,#anntaylor
70,8746,RT @handle: Q8: HOW HAVE U STRIVED 2B SUCCESSFUL IN DIFF AREAS OF UR LIFE (WORK/HOME/COMMUNITY)? PLS RT #gno #anntaylor
71,2423,Do NOT Pay For White Teeth! Mom's Whitening Method Exposed. The Results WILL Shock You. http://tinyurl.com/yhne2r4
72,2423,"Get a $500 rebate on Car Insurance, Get an instant quote now! http://tinyurl.com/yjobppf"
73,2423,Check out the coolest new FREE trend in the golf industry. http://tinyurl.com/ylsxj7s
74,2423,SECRET: White Teeth Trick! Dentists don't want you to know about THIS teeth whitening secret! http://tinyurl.com/yje432t
75,2423,"Do NOT Pay for White Teeth!! Learn the trick discovered by a mom to turn yellow teeth white, under $10. http://tinyurl.com/yk3xwwg"
76,2423,"Enter to win a FREE 50"" Panasonic HDTV http://tinyurl.com/yjnutld"
77,2423,Do NOT Pay For White Teeth! Learn the trick discovered by a mom to turn yellow teeth white for $5 http://tinyurl.com/yget3kl
78,2423,Do NOT Let the Dentist Fool You! Dentists don't want you to know about THIS teeth whitening secret! http://tinyurl.com/ykl7mmb
79,2423,Do NOT Pay For White Teeth! Mom's Whitening Method Exposed. The Results WILL Shock You. http://tinyurl.com/yzy2eft
80,2423,Do NOT Pay For Teeth Whitening!!! Learn the trick discovered by a mom to turn yellow teeth white for $5 http://tinyurl.com/yl8x594
81,2423,Cure Yellow Teeth: NO Dentist Required! Learn how Cathy did it from home. Learn More. http://tinyurl.com/yhfdzyf
82,2423,If you are interested in becoming a nurse check out this list of fine Online Schools of Nursing. http://tinyurl.com/yao5b7m
83,2423,"SECRET: ""White Teeth Trick"" - Learn from Cathy how she turned her yellow teeth white at home for $5! http://tinyurl.com/y8crhuh"
84,2423,At-Home Teeth Whitening: Does it work?? Check this out! http://tinyurl.com/ycyydg4
85,2423,DON'T Let The Dentist Fool You: Single mom discovers 1 simple trick to turn yellow teeth white from home. http://tinyurl.com/y8f9pmw
86,2423,Do NOT Let the Dentist Fool You! Dentists don't want you to know about THIS teeth whitening secret! http://tinyurl.com/y8j3udm
87,2423,BREAKING NEWS: A Santa Cruz Mom Found a Secret to Turn Yellow Teeth White at Home. Read the story http://tinyurl.com/yab9tfl
88,2423,Cure Yellow Teeth: NO Dentist Required! Learn how Cathy did it from home. Learn More. http://tinyurl.com/ybvh42u
89,2423,"Do NOT Pay for White Teeth!! Learn the trick discovered by a mom to turn yellow teeth white, under $10. http://tinyurl.com/ybpxb88"
90,2423,"Incredible! Get paid to read emails, try new products, take surveys,"
91,2423,SECRET: White Teeth Trick! Dentists don't want you to know about THIS teeth whitening secret! http://tinyurl.com/yd3dq26
92,2423,"SECRET: ""White Teeth Trick"" - Learn from Cathy how she turned her yellow teeth white at home for $5! http://tinyurl.com/ydfgxmt"
93,2423,"Jobless Mom makes $8,673/Month Part-Time Online! Read this special report to see how. http://tinyurl.com/yey7tmm"
94,2423,As cool as it gets! Charlie Sheen's line signature shirts. HOT-HOT-HOT!! http://tinyurl.com/lh3pl8
95,2423,You gotta check this out. Its an adult social network not a dating site. They got it right.. http://tinyurl.com/mdevmp
96,2423,"Cash rules! Being broke doesn't! Need Cash? Get up to $1,000 overnite! http://tinyurl.com/l9ay3j"
97,2423,Do NOT Pay For White Teeth! Learn the trick discovered by a mom to turn yellow teeth white for $5 http://tinyurl.com/nenonk
98,2423,"Do NOT Pay for White Teeth!! Learn the trick discovered by a mom to turn yellow teeth white, under $10. http://tinyurl.com/mw45ze"
99,2423,Do NOT Pay For Teeth Whitening!!! Learn the trick discovered by a mom to turn yellow teeth white for $5 http://p.gs/xjgmc
100,2423,"Get TRAINED and Make up to $59,460*!!! That's $1,120* per week! http://p.gs/5ndkq"
101,2423,"Jobless Mom makes $8,673/Month Part-Time Online! Read this special report to see how. http://tinyurl.com/q87yhk"
102,2423,Company giving away $250 Grocery gift card. Put in your zipcode to check availability! http://p.gs/9lhbi
103,2423,Scholarships4Moms is awarding another $10k for college FREE - Sept. 30th deadline. Register today! http://p.gs/gh2q2
104,2423,"Not sure if they are still giving away free samples, but if you need to lose weight this stuff is amazing http://p.gs/56cu3"
105,2423,i just found some great porn tune www.rudetube.info ...enjoy :D
106,564,"treat is awesome, but #trick is more fun."
107,564,"ou can learn a lot about how people see you by how you're listed. For example, it seems that people feel strongly that I work at Twitter."
108,564,"'m not sure when I switched from reading books in bed just before going to sleep to checking email, but I don't think it's healthy."
109,564,nother headphones cable on the fritz. I need to buy these things in bulk.
110,564,handle Get a magical parking card. http://bit.ly/zpKsH Available pre-tax through WageWorks.
111,564,k then. I'm just going to hold off for a little while and react to this later.
112,564,'m beginning to think this day would have gone better if I had started it differently. Mainly if I'd skipped the getting out of bed part.
113,564,"just finished season one of The Tudors, and omg you guys--you'll never believe how it ends!"
114,564,handle Perhaps ideal for the undead.
115,564,t's a good thing I have this never-ending mountain of email to sort though. Otherwise waiting on these tests would be boh-rring.
116,564,want there to be substantially less waiting in my day to day life.
117,564,mbroidery: cooler than you would think.
118,564,"handle called me a ""pretty little hate machine"". It made me blush."
119,564,"Don't cloud the wonder of this week with your little ...facts."""
120,564,block for misdirected @ replies.
121,564,handle No. I would burn alive contentedly at my laptop without ever having heard the fire alarm.
122,564,inally figured it out. There's only one escalator at this Bart station. It changes direction depending on the time of day.
123,564,'m watching the shipping casualty of this move hasten to its doom from the tracking page. Poor little guy. He has no idea what he's in for
124,564,handle Wow. Just... wow.
125,564,"ook a chance on some molasses clove cookies. Oh yeaaah, I live on the wild side. And it's tasty here."
126,564,handle What timezone are you in? Because if being up at 11pm makes you an insomniac then... *pats your head*
127,564,"handle Yes, and then she loaned it to me. But I can assure you, we both knew what we were getting into."
128,564,nyone who believes that you cannot judge a book by its cover has not seen the cover of this book: http://amzn.com/0373621353
129,564,"he prospect of a new office on Monday fills me with the kind of hope that scares me. (That is, any.)"
130,564,ust remembered my stressful dream. I sure hope @handle isn't mad at me still.
131,564,"handle Well, hello fellow moocher. Thanks for getting to it so quickly!"
132,564,"oday in cute: Cinder eats with his hands. Scoops up each piece of kibble with his paw and head tilted, daintily dishes it into his mouth."
133,564,othing will make you realize just how dumb something is as trying to explain it to someone else.
134,564,"he one thing that USPS has on UPS, FedEx and all other carriers: the forwarding address."
135,564,"We sincerely appreciate your feedback. But please note, there is a 250 character limit. Max exceeded."" Turns out I only needed four."
136,564,"'m going to be a full hour late to this thing. My only excuse? C'mon, it's Saturday."
137,564,onated to a public artistic preformance for the first time in years. It was both striking and silent.
138,564,"hinking warm, congratulatory thoughts towards the people who made that thing happen. You know who you are."
139,564,handle Never Forget.
140,564,bandoned cat is abandoned. http://sfbay.craigslist.org/eby/pet/1451640811.html Please adopt or RT.
141,564,"lright, that's it. Today calls for cookies."
142,564,"need something to cheer me up from my somber contemplation. Oh, this economics book will do quite nicely. What? ""Dismal"" is realtive."
